Balancing Authority,Total Solar Generation,Total Wind Generation,Total Hydro Generation,Net Generation (MW),Solar Percentage,Wind Percentage,Hydro Percentage,Total Renewable Percentage
PACW,88.5713141025641,184.01169871794872,212.87419871794873,590.6079947204676,14.996633112710327,31.156316941669697,36.043230132484275,82.1961801868643
BPAT,35.69326923076923,626.8809294871795,6665.953044871795,9313.08758367116,0.3832592457666888,6.731182584240951,71.57618764972592,78.69062947973356
WALC,59.576602564102565,101.99166666666666,414.75048076923076,860.963141025641,6.919762266841138,11.846229159725336,48.172849801113465,66.93884122767994
PNM,417.6955128205128,729.8599358974359,4.694391025641026,1772.473604826546,23.565683104284556,41.17747840701187,0.264849700038293,65.00801121133472
IPCO,134.10528846153846,193.60560897435897,783.1317307692308,1756.2044876025266,7.6360861965801945,11.024092600894026,44.59228616585071,63.252464963324925
AVRN,0.0,514.6516025641025,0.0,1009.1676251532007,0.0,50.99763307269928,0.0,50.99763307269928
AVA,3.7171474358974357,73.1264423076923,367.63189102564104,935.6108230413878,0.3972963271004192,7.815903846642171,39.29324907022569,47.506449243968284
CISO,4925.697554697555,2045.6023166023167,2292.6784105534107,21277.067204556242,23.150265529277327,9.614117852503066,10.775349762783376,43.53973314456377
PSCO,395.15576923076924,1939.5152243589744,35.91282051282051,5571.377769397568,7.092604120317933,34.81212914716235,0.644594963746351,42.54932823122663
NWMT,37.52628205128205,502.2634615384615,372.2197115384615,2193.2005279532386,1.7110283156051727,22.900936559922727,16.97153118442062,41.583496059948516
SWPP,153.9694060211554,12124.232221318145,976.4099267697314,33559.85280844935,0.4587904687781902,36.127191291690146,2.9094583112232875,39.495440071691625
ERCO,5883.289102564103,12154.611378205129,34.24342948717949,52567.73253511832,11.191825895541,23.121810266564452,0.0651415380419973,34.37877770014745
WACM,154.05528846153845,573.0405448717949,638.3331730769231,4095.8581259426846,3.761245720054861,13.990732277620246,15.58484579907189,33.336823796747
PACE,602.4266025641026,1341.076923076923,116.4301282051282,6327.170076364665,9.521264566831945,21.19552512246441,1.8401611905464097,32.556950879842766
LDWP,368.6479166666667,130.56307100496875,113.56682692307692,2013.3789007259356,18.309912581965992,6.484773976616793,5.640608773744958,30.435295332327744
PSEI,2.825641025641026,132.81666666666666,107.1650641025641,843.443480720279,0.3350124922689545,15.746955154984974,12.70566037347848,28.78762802073241
NYIS,0.0,788.681264035932,2844.2962784728907,14947.868388799849,0.0,5.276212256637714,19.028106245597314,24.304318502235027
AZPS,375.32548076923075,205.71089743589744,0.0,2520.0571266968327,14.893530658219204,8.162945802166524,0.0,23.056476460385728
NEVP,895.3685897435897,39.39663461538461,33.15785256410256,4258.492960408202,21.02548009514059,0.9251309085552231,0.7786287983184593,22.72923980201427
MISO,2009.8075320512821,11280.896153846154,1102.8903846153846,73457.47099395313,2.736015145711626,15.357044016359852,1.5013998844394905,19.594459046510966
ISNE,148.21891025641025,430.56330128205127,749.7070512820513,11802.890073598792,1.2557848910916543,3.6479480754053077,6.351893871815582,11.255626838312544
TVA,232.2602564102564,0.1546474358974359,1899.073717948718,19188.045818798906,1.2104424734211674,0.000805957195213307,9.897171060995477,11.108419491611858
SRP,376.35352564102567,81.56233974358975,33.71650641025641,6605.264299242424,5.697781475363381,1.2348081174124153,0.5104490128294101,7.443038605605206
PJM,1937.0636319923065,3599.838595928835,1644.4579259496713,98293.05075757575,1.9707025237926203,3.662353104501016,1.673015450507754,7.3060710788013905
SOCO,1150.0991987179486,0.0,742.9406835722161,28491.219477703402,4.036679439495353,0.0,2.6076127915606597,6.6442922310560135
AECI,,294.0802884615385,,2631.869520128217,,11.173817174918753,,
BANC,73.59439102564103,,623.5214743589744,1725.1134263624363,4.2660609963961456,,36.143795812529724,
CHPD,,1.6942307692307692,832.5951274242667,825.1049405996606,,0.20533518657632263,100.90778596225137,
CPLE,580.8564102564103,,28.16746794871795,7340.820307344206,7.912690761212149,,0.3837100864672779,
CPLW,0.05625,,14.225160256410257,482.9313660790044,0.011647617850276031,,2.9455863204551336,
DEAA,,,,394.7351055806938,,,,
DOPD,,,402.42355769230767,397.3771094560196,,,101.2699393387798,
DUK,203.48028846153846,,92.42708333333333,12803.804091637598,1.5892174466683322,,0.7218720520231887,
EPE,72.52227564102564,,,713.7792232277526,10.16032314769202,,,
FMPP,38.75929487179487,,,1956.9037337356212,1.9806439225196588,,,
FPC,363.49679487179486,,24.295833333333334,5137.506457999434,7.075354509886922,,0.47291100326507873,
FPL,1453.3522435897437,,,16455.2291330358,8.83216047518882,,,
GCPD,,,927.9669871794872,910.2892032060349,,,101.9419964458758,
GRID,42.50280493668857,233.2191056259016,,2145.426727410782,1.9810886288334477,10.870522989492311,,
GVL,,,,202.10243071975788,,,,
GWA,,54.07067307692308,,55.60201772581558,,97.24588295258661,,
HGMA,,,,337.3898944193062,,,,
HST,,,,0.061574728901461574,,,,
IID,146.16538461538462,,15.549839743589743,630.9260346623734,23.166801904695834,,2.464605815784874,
JEA,5.763301282051282,,,1056.9267576274399,0.545288615361445,,,
LGEE,3.336698717948718,,35.000320512820515,3884.7664969834086,0.08589187330923814,,0.9009633021701278,
PGE,,0.0,221.98285256410256,919.1839351371735,,0.0,24.14999262698985,
SC,58.40384615384615,,49.162660256410255,2154.2410448477863,2.711110081832687,,2.2821336718094134,
SCEG,202.73461538461538,,84.17371794871795,2959.872715219244,6.84943694849386,,2.843828976695811,
SCL,,,439.4488782051282,510.0607260726073,,,86.15618802663363,
SEC,0.15948068600737297,,,1620.908105022831,0.009838971469954284,,,
SEPA,,,162.66073717948717,182.62712346967828,,,89.06712983764093,
SPA,,,385.03076923076924,446.71452814179315,,,86.19168282535806,
TAL,10.761538461538462,,,351.93164891109643,3.057849015522045,,,
TEC,220.52516025641026,,,2443.9198714920153,9.023420236841867,,,
TEPC,105.26783398184176,125.7363813229572,,1603.9915902140672,6.562866951677273,7.838967616169143,,
TIDC,,,30.626121794871796,251.49165645328557,,,12.177788411267068,
TPWR,,,235.90096153846153,259.4452719901952,,,90.92513412515629,
WAUW,,,54.261538461538464,55.58962753418199,,,97.6109048907966,
WWA,,64.37756410256411,,67.9870827833302,,94.6908757766981,,
YAD,,,84.27119730726078,101.76755884586181,,,82.80752556411302,
