Region,Total Solar Generation,Total Wind Generation,Total Hydro Generation,Net Generation (MW),Solar Percentage,Wind Percentage,Hydro Percentage,Total Renewable Percentage
CENT,153.9694060211554,12124.232221318145,678.4522406136456,16852.067738559603,0.9136529024794653,71.94507172301718,4.0259287533081975,76.88465337880484
NW,199.33109416525326,404.61092358697505,691.5203839065518,2049.3433553116183,9.726583573641493,19.74344233426179,33.743510188969815,63.2135360968731
CAL,1375.112287455887,1086.3144921718185,613.8971644855017,5161.883168915599,26.639740622893036,21.044925981926667,11.892891497086486,59.57755810190619
TEX,5883.289102564103,12154.611378205129,34.24342948717949,52567.73253511832,11.191825895541,23.121810266564452,0.0651415380419973,34.37877770014745
SW,234.70579105116678,249.2572924698021,113.29034455128205,1848.806854686319,12.694987064562163,13.482062327819138,6.127754463053614,32.30480385543491
MIDW,1006.5721153846154,5787.488221153846,568.9453525641026,26623.46979464763,3.780769836345585,21.738294316232814,2.137006772417332,27.65607092499573
NY,0.0,788.681264035932,2844.2962784728907,14947.868388799849,0.0,5.276212256637714,19.028106245597314,24.304318502235027
NE,148.21891025641025,430.56330128205127,749.7070512820513,11802.890073598792,1.2557848910916543,3.6479480754053077,6.351893871815582,11.255626838312544
TEN,232.2602564102564,0.1546474358974359,1899.073717948718,19188.045818798906,1.2104424734211674,0.000805957195213307,9.897171060995477,11.108419491611858
SE,1150.0991987179486,0.0,406.88993039443153,14383.782964434355,7.995804730658882,0.0,2.828810274741465,10.824615005400346
MIDA,1937.0636319923065,3599.838595928835,1644.4579259496713,98293.05075757575,1.9707025237926203,3.662353104501016,1.673015450507754,7.3060710788013905
CAR,209.10628205128205,,58.737199177328456,4319.57104959813,4.8409038687009485,,1.359792407692728,
FLA,298.98081457908836,,24.295833333333334,3240.9452394460905,9.225111579799082,,0.7496526950725564,
